ISBN,Book_Title,Book_Author,Year-Of-Publication,Edition_Count,Book_Age,Edition_Count_Category,Total_Reviews,No_of_Pages,Book_Length_Category,Popularity_Score,Book_Price,Bestseller
3453064038,Incubus. Roman.,Colin Forbes,1993,1,32,Low,0,437,Medium,0.4,21.85,No
9136666690,A Cold Case,Cynthia Borris,2007,42,18,High,513,907,Long,324.6,63.35,Yes
9510236756,Minun sukuni tarina,Jari Tervo,1999,1,26,Low,225,191,Short,135.4,19.55,Yes
1986505573,Whisper to Me of Love,Nicci French,2023,27,1,High,7,521,Long,15.0,26.05,No
4037883484,A Walk to Remember,Jurt W. Donsbach,1944,8,81,Medium,196,277,Medium,120.8,21.85,Yes
0553471392,The Client,John Grisham,1993,80,32,High,0,553,Long,32.0,27.65,Yes
9586887246,Las DOS Muertes De Gardel (Ficcionario),Stephen King,1993,45,32,High,320,561,Long,210.0,44.05,Yes
0876855583,Ham on Rye,Charles Bukowski,1982,11,43,Medium,0,819,Long,4.4,40.95,No
1570420297,Kiss the Girls,James Patterson,1995,36,30,High,0,986,Long,14.4,49.3,No
2207249786,Parabellum tango,Pierre Pelot,2000,1,25,Low,0,504,Long,0.4,25.200000000000003,No
6077780404,A Walk to Remember,Gary Paulsen,1945,47,80,High,36,209,Medium,40.4,14.45,Yes
039914868X,The Short Forever,Stuart Woods,2002,3,23,Low,144,482,Medium,87.6,40.1,Yes
9215297546,The Teeth of the Tiger,Leonard Goldberg,1951,46,74,High,174,111,Short,122.8,17.55,Yes
0385176228,The Neverending Story,Michael Ende,1983,1,42,Low,790,417,Medium,474.4,40.85,Yes
4553915985,The God of Mirrors,Kent Haruf,1927,13,100,Medium,109,957,Long,70.6,51.85,No
0915811332,Sacred Journey of the Peaceful Warrior,Dan Millman,1991,2,33,Low,662,567,Long,398.0,44.35,Yes
0380802937,Someday My Prince,Christina Dodd,1999,2,26,Low,0,728,Long,0.8,36.4,No
2020482363,Sans nouvelles de Gurb,Eduardo Mendoza,2001,1,24,Low,196,353,Medium,118.0,31.65,Yes
0373484003,Irish Hearts,Nora Roberts,2000,11,25,Medium,266,229,Medium,164.0,25.450000000000003,Yes
0892882816,"Homestead, A Memoir",Jane Kirkpatrick,2000,1,25,Low,390,761,Long,234.4,48.05,Yes
0739400932,Sweet Anger,Sandra Brown,1985,18,40,Medium,38,309,Medium,30.0,15.45,No
0690040784,Jacob Have I Loved,Katherine Paterson,1980,38,45,High,0,424,Medium,15.2,21.200000000000003,No
0440214858,Hot Money (Molly Dewitt Romantic Mystery),Sherryl Woods,1993,1,30,Low,416,882,Long,249.2,60.1,Yes
3948427643,No More Bobs,Iain Pears,1969,34,56,High,184,815,Long,124.0,56.75,Yes
9667621671,Clean Cut,Ann Marston,2008,43,17,High,776,287,Medium,482.8,30.35,Yes
0671500546,The Vulcan Academy Murders,Jean Lorrah,1984,13,41,Medium,77,477,Medium,51.4,37.85,Yes
0689312024,"Izzy, Willy-Nilly",Cynthia Voigt,1986,8,39,Medium,0,361,Medium,3.2,18.05,No
0684836491,Apocalypse Wow,James Finn Garner,1997,5,30,Low,236,671,Long,143.6,43.55,Yes
0553502158,Irresistible Forces,Danielle Steel,1999,49,26,High,0,457,Medium,19.6,22.85,No
0892967544,First Degree,David Rosenfelt,2003,9,24,Medium,163,267,Medium,101.4,33.35,Yes
0743418700,Salem Falls,Jodi Picoult,2001,5,24,Low,0,878,Long,2.0,43.900000000000006,No
0449906787,Belgrave Square,Anne Perry,1992,5,33,Low,790,130,Short,476.0,26.5,Yes
0374129983,The Corrections,Jonathan Franzen,2001,48,23,High,34,480,Medium,39.6,24.0,No
0575047798,The Colloghi Conspiracy,Douglas Hill,1990,3,35,Low,301,325,Medium,181.8,30.25,Yes
0688149626,High Crimes,Joseph Finder,1998,19,25,Medium,359,894,Long,223.0,60.7,Yes
B00009EF82,Hannibal,Thomas Harris,1999,48,26,High,130,992,Long,97.2,69.6,Yes
0671684027,Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,1990,3,33,Low,352,290,Medium,212.4,30.5,Yes
037316243X,Party Of Two (American Romance No. 243),Stella Cameron,1988,1,37,Low,0,928,Long,0.4,46.400000000000006,No
4842235079,Champagner und Kamillentee.,James Patterson,1916,46,109,High,35,924,Long,39.400000000000006,48.2,Yes
0871134799,Suicide Blonde,Darcey Steinke,1992,9,33,Medium,371,807,Long,226.2,54.35,Yes
1859671438,Tinwork (New Crafts),Marion Elliot,1996,1,29,Low,304,976,Long,182.8,64.80000000000001,Yes
4257776324,The Catswold Portal,Gaston Leroux,1927,34,98,High,44,799,Long,40.0,41.95,Yes
3426871874,Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.,Christopher Weidner,2003,1,24,Low,49,208,Medium,29.8,10.4,No
0345402219,"Upsetting the Balance (Worldwar Series, Volume 3)",Harry Turtledove,1996,5,29,Low,0,587,Long,2.0,29.35,No
