Title,Author,Subjects,First Publish Year,Edition Count,ISBN
Classical Mythology,"Harris, Stephen L.",,1995.0,4.0,
Clara Callan,Richard B. Wright,,2002.0,11.0,
Decision in Normandy,Carlo D'Este,,1983.0,18.0,
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Kolata,,1999.0,9.0,
The Mummies of Urumchi,"E. J. W. Barber, Elizabeth Wayland Barber",,1999.0,4.0,
The Kitchen God's Wife,Amy Tan,,1991.0,46.0,
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,,1999.0,1.0,
PLEADING GUILTY,Scott Turow,,1993.0,21.0,
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Not Found,Not Found,,,
Where You'll Find Me: And Other Stories,Ann Beattie,,1986.0,4.0,
Nights Below Station Street,David Adams Richards,,1988.0,5.0,
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Not Found,Not Found,,,
The Middle Stories,Sheila Heti,,2002.0,6.0,
Jane Doe,"Julie Miller, Julie Miller",,2006.0,1.0,
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Not Found,Not Found,,,
The Witchfinder (Amos Walker Mystery Series),Not Found,Not Found,,,
More Cunning Than Man: A Social History of Rats and Man,Not Found,Not Found,,,
Goodbye to the Buttermilk Sky,Julia Oliver,,1994.0,3.0,
The Testament,John Grisham,,1999.0,62.0,
Beloved (Plume Contemporary Fiction),Not Found,Not Found,,,
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Not Found,Not Found,,,
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Not Found,Not Found,,,
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,Not Found,Not Found,,,
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Jacqueline Carrol,,2002.0,1.0,
Tell Me This Isn't Happening,Robynn Clairday,,1999.0,1.0,
Flood : Mississippi 1927,Deborah Kent,,2009.0,1.0,
Wild Animus,Rich Shapero,,2004.0,6.0,
Airframe,Michael Crichton,,1996.0,73.0,
Timeline,Michael Crichton,,1999.0,64.0,
OUT OF THE SILENT PLANET,C.S. Lewis,,1938.0,45.0,
Prague : A Novel,Philip Kerr,,2013.0,1.0,
Chocolate Jesus,Stephen Jaramillo,,1998.0,1.0,
Wie Barney es sieht.,Not Found,Not Found,,,
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,"Eleanor Cooney, Daniel Altieri",,2001.0,1.0,
Sturmzeit. Roman.,Charlotte Link,,2003.0,1.0,
Tage der Unschuld.,Richard North Patterson,,2000.0,1.0,
Lying Awake,Mark Salzman,,2000.0,5.0,
To Kill a Mockingbird,Harper Lee,,1960.0,187.0,
Seabiscuit: An American Legend,Laura Hillenbrand,,,1.0,
Pigs in Heaven,Barbara Kingsolver,,1993.0,13.0,
Miss Zukas and the Raven's Dance,Jo Dereske,,1996.0,2.0,
Pride and Prejudice,Jane Austen,,1813.0,4035.0,
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Not Found,Not Found,,,
Downtown,Sydney Taylor,,1972.0,13.0,
Icebound,John Flanagan,,2007.0,5.0,
I'll Be Seeing You,Mary Higgins Clark,,1993.0,20.0,
From the Corner of His Eye,Dean Koontz,,2000.0,28.0,
Isle of Dogs,Patricia Cornwell,,2001.0,8.0,
Purity in Death,Nora Roberts,,2002.0,20.0,
This Year It Will Be Different: And Other Stories,Not Found,Not Found,,,
Proxies,R. Austin Freeman,,2017.0,27.0,
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),"Tim F. LaHaye, Jerry B. Jenkins",,2000.0,1.0,
The Street Lawyer,John Grisham,,1989.0,59.0,
"Love, Medicine and Miracles","M.D. Bernie S. Siegel, Bernie S. Siegel",,1986.0,3.0,
All the King's Men,Robert Penn Warren,,1946.0,31.0,
Pacific Northwest,Sir William Edward Parry,,1831.0,18.0,
A Soldier of the Great War,Mark Helprin,,1920.0,8.0,
Getting Well Again,O. Carl Simonton,,1978.0,7.0,
Northwest Wines and Wineries,Chuck Hill,,1993.0,2.0,
An Atmosphere of Eternity: Stories of India,Not Found,Not Found,,,
LONESOME DOVE,Larry McMurtry,,1985.0,26.0,
Shabanu: Daughter of the Wind (Border Trilogy),Not Found,Not Found,,,
Haveli (Laurel Leaf Books),Not Found,Not Found,,,
Lieux dits,Jean Ricardou,,1969.0,4.0,
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Not Found,Not Found,,,
The yawning heights,Aleksandr Aleksandrovich Zinov'ev,,1979.0,1.0,
Breathing Lessons,Anne Tyler,,1988.0,39.0,
The Joy Luck Club,"Amy Tan, Gwendoline Yeo, Tsai Chin, Ronald Bass, Wayne Wang, Jordi Fibla",,1989.0,59.0,
Heart of Darkness (Wordsworth Collection),Not Found,Not Found,,,
The Angel Is Near,"Deepak Chopra, Martin H. Greenberg, Deepak Chopra, Paul Michael",,2000.0,2.0,
Tess of the D'Urbervilles (Wordsworth Classics),Not Found,Not Found,,,
The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,,2006.0,1.0,
The Accidental Virgin,Valerie Frankel,,2003.0,4.0,
The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard, Benjamin Hoff, Ernest H. Shepard, A. A. Milne",,1982.0,19.0,
Seabiscuit,Laura Hillenbrand,,2001.0,19.0,
The Prince,Niccolò Machiavelli,,1515.0,1405.0,
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),Not Found,Not Found,,,
Starship Troopers,Robert A. Heinlein,,1959.0,59.0,
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",Not Found,Not Found,,,
Black Beauty (Illustrated Classics),Anna Sewell,,2000.0,2.0,
Anil's Ghost,"Michael Ondaatje, Michael Ondaatje",,1999.0,31.0,
Prescription for Terror,Sandra Levy Ceren,,1999.0,2.0,
Modern Manners: An Etiquette Book for Rude People,Not Found,Not Found,,,
Turning Thirty,Mike Gayle,,2000.0,6.0,
Decipher,Stel Pavlou,,2001.0,10.0,
"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Not Found,Not Found,,,
Standing Firm: A Vice-Presidential Memoir,Not Found,Not Found,,,
