ISBN,Publisher,Book_Title,Book_Author,First_Publish_Year,Edition_Count,Book_Age,Edition_Count_Category,Total_Reviews,No_of_Pages,Book_Length_Category,Popularity_Score,Book_Price,Bestseller
1881320189,River City Pub,Goodbye to the Buttermilk Sky,Julia Oliver,1994,1,33,Low,189,363,Medium,113.8,32.150000000000006,1
0440295734,Bantam Books,The Testament,John Grisham,1999,62,26,High,588,474,Medium,377.6,37.7,1
0553502271,Random House Audio,The Testament,John Grisham,1999,61,26,High,8,116,Short,29.200000000000003,5.800000000000001,0
0439095026,Scholastic,Tell Me This Isn't Happening,Robynn Clairday,1999,1,26,Low,165,440,Medium,99.4,32.0,1
0060168013,Harpercollins,Pigs in Heaven,Barbara Kingsolver,1993,13,32,Medium,88,451,Medium,58.0,38.55,1
0060938412,Avon Trade,The Accidental Virgin,Valerie Frankel,2003,4,22,Low,235,594,Long,142.6,39.7,1
0966986105,Andrew Scott Publishers,Prescription for Terror,Sandra Levy Ceren,1999,2,26,Low,110,185,Short,66.8,29.25,1
0340767936,Hodder &amp; Stoughton General Division,Turning Thirty,Mike Gayle,2000,6,25,Medium,365,274,Medium,221.4,23.700000000000003,1
0312252617,St. Martin's Press,Fast Women,Jennifer Crusie,2001,9,25,Medium,269,917,Long,165.0,53.85,1
1587882337,Brilliance Audio,Fast Women,Jennifer Crusie,2001,9,24,Medium,270,292,Medium,165.6,32.6,1
0312261594,St. Martin's Press,Female Intelligence,Jane Heller,2001,5,24,Low,378,400,Medium,228.8,36.0,1
0671864769,Star Trek,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,8,33,Medium,248,526,Long,151.99999999999997,42.3,1
1900850303,Arcadia Books,The Angelic Darkness,Richard Zimler,1999,4,26,Low,392,513,Long,236.8,33.650000000000006,1
0446527165,Warner Books,Wish You Well,David Baldacci,2000,49,25,High,42,750,Long,44.8,37.5,0
1570429693,Time Warner Audio Major,Wish You Well,David Baldacci,2000,49,25,High,926,358,Medium,575.2,37.900000000000006,1
1570429685,Time Warner Audio Major,Wish You Well,David Baldacci,2000,47,25,High,192,843,Long,134.0,58.150000000000006,1
1586214055,Time Warner Audio Major,Four Blind Mice,James Patterson,2002,30,24,High,15,413,Medium,21.0,20.65,0
1568655878,GuildAmerica Books,Petals on the River,Kathleen E. Woodiwiss,1997,6,28,Medium,657,100,Short,396.6,23.0,1
0385316895,Bantam Dell Pub Group,Legacy of Silence,Belva Plain,1998,4,27,Low,72,246,Medium,44.8,24.3,1
0590629719,Scholastic,Clifford's Sports Day,Norman Bridwell,1996,3,29,Low,820,403,Medium,493.2,40.150000000000006,1
0786863986,Hyperion,A Monk Swimming,Malachy McCourt,1998,8,27,Medium,240,168,Short,147.2,18.4,1
0736645233,"Books on Tape, Inc.",A Monk Swimming,Malachy McCourt,1998,6,28,Medium,70,459,Medium,44.4,28.950000000000003,0
155874262X,Health Communications,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,1,32,Low,980,319,Medium,588.4,35.95,1
0525947647,Dutton Books,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,2,23,Low,626,851,Long,376.4,60.55,1
1565117964,Highbridge Audio,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,1,22,Low,230,674,Long,138.4,53.7,1
1565117972,HighBridge Audio,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,1,22,Low,162,684,Long,97.6,52.2,1
0451409256,Onyx Books,Making Minty Malone,Isabel Wolff,2000,2,25,Low,651,787,Long,391.4,53.35,1
156971620X,Dark Horse Comics,Harlequin Valentine,Neil Gaiman,2002,4,23,Low,621,880,Long,374.2,62.0,1
0374270325,Farrar Straus &amp; Giroux,A Man in Full,Tom Wolfe,1998,30,27,High,371,856,Long,234.6,56.8,1
1573225487,Riverhead Books,The Romance Reader,Pearl Abraham,1996,1,29,Low,448,258,Medium,269.2,28.9,1
0670856045,Viking Books,The Tortilla Curtain,T. Coraghessan Boyle,1995,23,30,High,308,588,Long,194.0,43.400000000000006,1
0064470113,Harpercollins Juvenile Books,Taking the Ferry Home,Pam Conrad,1990,1,35,Low,609,423,Medium,365.8,35.150000000000006,1
9681500555,"Editores Mexicanos Unidos, S.A.",Diario de Ana Frank,Anne Frank,2000,2,25,Low,810,709,Long,486.8,53.45,1
0062770500,Access Press (HarperCollins),Seattle Access,HarperReference,1993,2,32,Low,315,480,Medium,189.8,38.0,1
0385416342,Doubleday Books,The Firm,John Grisham,1991,94,34,High,590,201,Medium,391.6,30.05,1
0553452991,Random House Audio,The Firm,John Grisham,1991,94,34,High,65,593,Long,76.6,39.650000000000006,1
039456894X,Random House Inc,Impossible Vacation,Spalding Gray,1992,2,33,Low,568,740,Long,341.6,53.0,1
8478884963,Salamandra,Una casa en Irlanda,Maeve Binchy,1999,2,26,Low,207,443,Medium,125.0,40.150000000000006,1
0600586898,Hal Leonard Corp,Blur (Melody Maker),Paul Lester,1995,1,30,Low,342,921,Long,205.6,58.05,1
1857938011,Trafalgar Square,A-Z of Behaving Badly,Simon Nye,1996,1,29,Low,144,554,Long,86.8,39.7,1
0866119566,Playmore Inc. Publishers,Oliver Twist (Great Illustrated Classics),Charles Dickens,1989,1,38,Low,27,741,Long,16.2,37.05,0
0380792664,Avon,The Right Hand of Amon,Lauren Haney,1997,1,26,Low,41,200,Medium,25.0,10.0,0
887641486X,Edizioni E/O,I Giorni Dell'abbandono,Elena Ferrante,2002,19,23,Medium,752,810,Long,458.8,56.5,1
887641486x,Edizioni E/O,I Giorni Dell'abbandono,Elena Ferrante,2002,19,23,Medium,712,242,Medium,434.8,28.1,1
0679310002,Random House Canada,Going down swinging,Billie Livingston,1999,2,26,Low,910,927,Long,546.8,66.35,1
0515118656,Jove Books,The Cove,Catherine Coulter,1996,7,29,Medium,264,572,Long,161.20000000000002,44.6,1
1561672033,Noble House,Antipodes 10,John Pascal,1995,1,30,Low,280,516,Long,168.4,41.8,1
0590419625,Scholastic,The Teacher from the Black Lagoon,Mike Thaler,1989,9,38,Medium,476,827,Long,289.2,55.35,1
0385472951,Doubleday Books,The Partner,John Grisham,1997,72,28,High,400,596,Long,268.8,45.8,1
0440295556,Dell Publishing Company,The Partner,John Grisham,1997,72,28,High,266,390,Medium,188.4,33.5,1
0553472836,Random House Audio,The Partner,John Grisham,1997,72,28,High,144,201,Medium,115.2,22.05,1
0805056491,Henry Holt &amp; Company,Organizing from the Inside Out,Julie Morgenstern,1998,6,27,Medium,666,966,Long,402.0,66.30000000000001,1
0516076272,Childrens Press,A polar bear called Pingo,Ilona Koidahl,1974,1,51,Low,170,893,Long,102.4,64.65,1
0061042943,HarperTorch,Final Appeal,Lisa Scottoline,1994,11,31,Medium,576,915,Long,349.99999999999994,61.75,1
0385504209,Doubleday,The Da Vinci Code,Dan Brown,2003,193,23,High,182,698,Long,186.4,50.9,1
0385504217,Doubleday Books,The Da Vinci Code,Dan Brown,2003,194,24,High,31,308,Medium,96.2,15.4,1
0446525502,Warner Books,The Rescue,Nicholas Sparks,2000,13,25,Medium,396,253,Medium,242.8,30.65,1
