Transaction
"['River City Pub', 'Julia Oliver', 'Low', 'Medium']"
"['Bantam Books', 'John Grisham', 'High', 'Medium']"
"['Random House Audio', 'John Grisham', 'High', 'Short']"
"['Scholastic', 'Robynn Clairday', 'Low', 'Medium']"
"['Harpercollins', 'Barbara Kingsolver', 'Medium', 'Medium']"
"['Avon Trade', 'Valerie Frankel', 'Low', 'Long']"
"['Andrew Scott Publishers', 'Sandra Levy Ceren', 'Low', 'Short']"
"['Hodder &amp; Stoughton General Division', 'Mike Gayle', 'Medium', 'Medium']"
"[""St. Martin's Press"", 'Jennifer Crusie', 'Medium', 'Long']"
"['Brilliance Audio', 'Jennifer Crusie', 'Medium', 'Medium']"
"[""St. Martin's Press"", 'Jane Heller', 'Low', 'Medium']"
"['Star Trek', 'Michael Jan Friedman', 'Medium', 'Long']"
"['Arcadia Books', 'Richard Zimler', 'Low', 'Long']"
"['Warner Books', 'David Baldacci', 'High', 'Long']"
"['Time Warner Audio Major', 'David Baldacci', 'High', 'Medium']"
"['Time Warner Audio Major', 'David Baldacci', 'High', 'Long']"
"['Time Warner Audio Major', 'James Patterson', 'High', 'Medium']"
"['GuildAmerica Books', 'Kathleen E. Woodiwiss', 'Medium', 'Short']"
"['Bantam Dell Pub Group', 'Belva Plain', 'Low', 'Medium']"
"['Scholastic', 'Norman Bridwell', 'Low', 'Medium']"
"['Hyperion', 'Malachy McCourt', 'Medium', 'Short']"
"['Books on Tape, Inc.', 'Malachy McCourt', 'Medium', 'Medium']"
"['Health Communications', 'Jack Canfield', 'Low', 'Medium']"
"['Dutton Books', 'Al Franken', 'Low', 'Long']"
"['Highbridge Audio', 'Al Franken', 'Low', 'Long']"
"['HighBridge Audio', 'Al Franken', 'Low', 'Long']"
"['Onyx Books', 'Isabel Wolff', 'Low', 'Long']"
"['Dark Horse Comics', 'Neil Gaiman', 'Low', 'Long']"
"['Farrar Straus &amp; Giroux', 'Tom Wolfe', 'High', 'Long']"
"['Riverhead Books', 'Pearl Abraham', 'Low', 'Medium']"
"['Viking Books', 'T. Coraghessan Boyle', 'High', 'Long']"
"['Harpercollins Juvenile Books', 'Pam Conrad', 'Low', 'Medium']"
"['Editores Mexicanos Unidos, S.A.', 'Anne Frank', 'Low', 'Long']"
"['Access Press (HarperCollins)', 'HarperReference', 'Low', 'Medium']"
"['Doubleday Books', 'John Grisham', 'High', 'Medium']"
"['Random House Audio', 'John Grisham', 'High', 'Long']"
"['Random House Inc', 'Spalding Gray', 'Low', 'Long']"
"['Salamandra', 'Maeve Binchy', 'Low', 'Medium']"
"['Hal Leonard Corp', 'Paul Lester', 'Low', 'Long']"
"['Trafalgar Square', 'Simon Nye', 'Low', 'Long']"
"['Playmore Inc. Publishers', 'Charles Dickens', 'Low', 'Long']"
"['Avon', 'Lauren Haney', 'Low', 'Medium']"
"['Edizioni E/O', 'Elena Ferrante', 'Medium', 'Long']"
"['Edizioni E/O', 'Elena Ferrante', 'Medium', 'Medium']"
"['Random House Canada', 'Billie Livingston', 'Low', 'Long']"
"['Jove Books', 'Catherine Coulter', 'Medium', 'Long']"
"['Noble House', 'John Pascal', 'Low', 'Long']"
"['Scholastic', 'Mike Thaler', 'Medium', 'Long']"
"['Doubleday Books', 'John Grisham', 'High', 'Long']"
"['Dell Publishing Company', 'John Grisham', 'High', 'Medium']"
"['Random House Audio', 'John Grisham', 'High', 'Medium']"
"['Henry Holt &amp; Company', 'Julie Morgenstern', 'Medium', 'Long']"
"['Childrens Press', 'Ilona Koidahl', 'Low', 'Long']"
"['HarperTorch', 'Lisa Scottoline', 'Medium', 'Long']"
"['Doubleday', 'Dan Brown', 'High', 'Long']"
"['Doubleday Books', 'Dan Brown', 'High', 'Medium']"
"['Warner Books', 'Nicholas Sparks', 'Medium', 'Medium']"
"['Time Warner Audio Major', 'Nicholas Sparks', 'Medium', 'Long']"
"['Harcourt', 'David Guterson', 'High', 'Short']"
"['Simon &amp; Schuster', 'Mary Higgins Clark', 'Medium', 'Medium']"
"['Simon &amp; Schuster Audio', 'Mary Higgins Clark', 'Medium', 'Medium']"
"['Simon &amp; Schuster Audio', 'Mary Higgins Clark', 'Medium', 'Medium']"
